,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
1065,E01001091,True,False,False,False,False,False,False,False
1066,E01001092,False,False,False,False,False,False,False,False
1067,E01001093,False,False,False,False,False,True,False,False
1068,E01001094,False,False,False,False,False,False,False,False
1069,E01001095,False,False,False,False,False,False,False,False
1070,E01001096,True,False,False,False,False,False,False,False
1071,E01001097,True,False,False,False,False,False,False,False
1072,E01001098,False,False,False,False,False,False,False,False
1073,E01001099,False,False,False,False,False,False,False,False
1074,E01001100,False,False,False,False,False,False,False,False
1075,E01001101,False,False,False,False,False,False,False,False
1076,E01001102,False,False,False,False,False,False,False,False
1077,E01001103,False,False,False,False,False,False,False,False
1078,E01001104,False,False,False,False,False,False,False,False
1079,E01001105,False,False,False,False,False,False,False,False
1080,E01001106,False,False,False,False,False,False,False,False
1081,E01001107,False,False,False,False,False,False,False,False
1082,E01001108,False,False,False,False,False,False,False,False
1083,E01001109,False,False,False,False,False,False,False,False
1084,E01001110,False,False,False,False,False,False,False,False
1085,E01001111,True,False,False,False,False,False,False,False
1086,E01001112,False,False,False,False,False,False,False,False
1087,E01001113,False,False,False,False,False,True,False,False
1088,E01001114,False,False,False,False,False,False,False,False
1089,E01001115,False,False,False,False,False,False,False,False
1090,E01001116,True,False,False,False,False,True,False,False
1091,E01001117,False,False,False,False,False,True,False,False
1092,E01001118,False,True,False,False,False,True,True,False
1093,E01001120,False,False,False,False,False,False,False,False
1094,E01001121,False,False,False,False,False,False,False,False
1095,E01001122,False,False,False,False,False,False,False,False
1096,E01001123,False,False,False,False,False,False,False,False
1097,E01001124,False,False,False,False,False,False,False,False
1098,E01001125,False,False,False,False,False,False,False,False
1099,E01001126,False,False,False,False,False,False,False,False
1100,E01001127,False,False,False,False,False,False,False,False
1101,E01001128,False,False,False,False,False,False,False,False
1102,E01001129,False,False,False,False,False,False,False,False
1103,E01001130,False,False,False,False,False,False,False,False
1104,E01001131,False,False,False,False,False,False,False,False
1105,E01001132,False,False,False,False,False,True,False,False
1106,E01001133,False,False,False,False,False,False,False,False
1107,E01001134,False,False,False,False,False,False,False,False
1108,E01001135,False,False,False,False,False,False,False,False
