,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
157,E01000164,145.0,41.0,48.0,38.0,145.0,0.0,-64.0,536.0
158,E01000165,166.0,0.0,0.0,39.0,117.0,0.0,-72.0,455.0
159,E01000166,168.0,0.0,0.0,0.0,113.0,0.0,-109.0,340.0
160,E01000167,335.0,73.0,37.0,45.0,117.0,0.0,-254.0,733.0
161,E01000168,139.0,0.0,44.0,0.0,37.0,0.0,-79.0,280.0
162,E01000169,0.0,0.0,0.0,0.0,83.0,0.0,0.0,83.0
163,E01000170,324.0,0.0,76.0,31.0,145.0,0.0,-168.0,763.0
164,E01000171,162.0,27.0,39.0,84.0,129.0,43.0,-121.0,609.0
165,E01000172,0.0,0.0,0.0,0.0,88.0,0.0,0.0,88.0
166,E01000173,0.0,0.0,0.0,31.0,118.0,0.0,32.0,212.0
167,E01000174,322.0,33.0,0.0,40.0,159.0,0.0,-228.0,688.0
168,E01000175,0.0,27.0,37.0,0.0,79.0,0.0,0.0,143.0
169,E01000176,338.0,37.0,0.0,0.0,65.0,0.0,-220.0,558.0
170,E01000177,478.0,0.0,37.0,0.0,126.0,0.0,-281.0,838.0
171,E01000178,302.0,0.0,35.0,0.0,151.0,0.0,-207.0,583.0
172,E01000179,0.0,43.0,115.0,0.0,79.0,0.0,0.0,237.0
173,E01000180,0.0,0.0,37.0,0.0,111.0,43.0,0.0,191.0
174,E01000181,158.0,0.0,89.0,0.0,168.0,78.0,20.0,671.0
175,E01000182,0.0,0.0,74.0,0.0,73.0,0.0,0.0,147.0
176,E01000183,152.0,0.0,34.0,0.0,79.0,0.0,-89.0,328.0
177,E01000184,0.0,0.0,0.0,34.0,147.0,0.0,33.0,248.0
178,E01000185,149.0,0.0,0.0,0.0,148.0,0.0,-83.0,363.0
179,E01000186,314.0,0.0,0.0,35.0,128.0,0.0,-221.0,605.0
180,E01000187,314.0,0.0,0.0,0.0,123.0,39.0,-204.0,586.0
181,E01000188,500.0,47.0,0.0,36.0,113.0,0.0,-353.0,879.0
182,E01000189,0.0,0.0,77.0,45.0,83.0,0.0,21.0,271.0
183,E01000190,279.0,0.0,0.0,0.0,125.0,0.0,-157.0,526.0
184,E01000191,305.0,0.0,0.0,0.0,71.0,0.0,-183.0,498.0
185,E01000192,821.0,0.0,81.0,33.0,225.0,0.0,-550.0,1464.0
186,E01000193,681.0,41.0,75.0,80.0,183.0,30.0,-519.0,1332.0
187,E01000194,443.0,0.0,85.0,83.0,147.0,0.0,-334.0,950.0
188,E01000195,352.0,65.0,0.0,40.0,198.0,0.0,-272.0,775.0
189,E01000196,480.0,44.0,0.0,39.0,115.0,0.0,-264.0,933.0
190,E01000197,289.0,0.0,37.0,0.0,162.0,0.0,-172.0,605.0
191,E01000198,323.0,0.0,0.0,0.0,136.0,0.0,-196.0,586.0
192,E01000199,168.0,0.0,0.0,40.0,76.0,0.0,-73.0,419.0
193,E01000200,155.0,46.0,73.0,0.0,117.0,0.0,-95.0,451.0
194,E01000201,612.0,0.0,0.0,0.0,158.0,0.0,-391.0,991.0
195,E01000202,306.0,0.0,0.0,42.0,69.0,0.0,-219.0,546.0
196,E01000203,313.0,0.0,38.0,84.0,146.0,0.0,-275.0,703.0
197,E01000204,166.0,0.0,72.0,106.0,118.0,0.0,-83.0,651.0
198,E01000205,312.0,0.0,39.0,0.0,106.0,0.0,-194.0,575.0
199,E01000206,442.0,0.0,0.0,87.0,164.0,0.0,-360.0,862.0
200,E01000207,333.0,0.0,0.0,39.0,79.0,0.0,-259.0,564.0
201,E01000208,324.0,0.0,0.0,46.0,107.0,0.0,-253.0,594.0
202,E01000209,162.0,0.0,77.0,83.0,116.0,0.0,-67.0,616.0
203,E01000210,302.0,71.0,0.0,0.0,109.0,0.0,-191.0,593.0
204,E01000211,446.0,0.0,127.0,0.0,194.0,0.0,-255.0,958.0
205,E01000212,475.0,0.0,0.0,0.0,121.0,40.0,-294.0,817.0
206,E01000213,155.0,0.0,34.0,0.0,35.0,0.0,-96.0,283.0
207,E01000214,311.0,0.0,43.0,125.0,78.0,0.0,-186.0,807.0
208,E01000215,318.0,0.0,79.0,0.0,78.0,0.0,-203.0,590.0
209,E01000216,346.0,0.0,0.0,0.0,79.0,0.0,-230.0,541.0
210,E01000217,305.0,0.0,0.0,44.0,116.0,0.0,-220.0,594.0
211,E01000218,315.0,0.0,0.0,0.0,125.0,0.0,-84.0,671.0
212,E01000219,488.0,0.0,0.0,35.0,168.0,0.0,-266.0,948.0
213,E01000220,292.0,34.0,0.0,41.0,71.0,0.0,-219.0,552.0
214,E01000221,312.0,38.0,40.0,71.0,115.0,0.0,-257.0,702.0
215,E01000222,0.0,0.0,35.0,0.0,80.0,0.0,0.0,115.0
216,E01000223,164.0,0.0,40.0,82.0,143.0,0.0,-63.0,612.0
217,E01000224,0.0,0.0,0.0,0.0,109.0,47.0,0.0,156.0
218,E01000225,315.0,0.0,0.0,36.0,98.0,0.0,-236.0,564.0
219,E01000226,173.0,0.0,0.0,0.0,73.0,0.0,-118.0,301.0
220,E01000227,457.0,0.0,0.0,44.0,165.0,0.0,-249.0,918.0
221,E01000228,175.0,0.0,39.0,46.0,81.0,0.0,-158.0,404.0
222,E01000229,311.0,39.0,41.0,0.0,154.0,39.0,-191.0,704.0
223,E01000230,300.0,0.0,40.0,39.0,82.0,0.0,-216.0,584.0
